Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
Unbelievable Moments Caught On Video,unbelievable moments caught video,"[0.0284325  0.02843241 0.56993935 0.02843186 0.14573456 0.02843267
 0.02843387 0.02843315 0.02843186 0.028434   0.02843186 0.02843191]",0,video_sidemen_official
16 PLACES YOU'RE NOT ALLOWED TO VISIT,16 places youre allowed visit,"[0.69349459 0.02786413 0.02786413 0.02786413 0.02786413 0.02786413
 0.02786413 0.02786413 0.02786413 0.02786413 0.02786413 0.02786413]",0,video_sidemen_official
When GODZILLA & KONG showed SKAR KING & SHIMO why they're the Kings Of The MONSTERS,godzilla kong showed skar king shimo why theyre kings monsters,"[0.61745132 0.03477715 0.03477715 0.03477715 0.03477715 0.03477715
 0.03477715 0.03477715 0.03477715 0.03477715 0.03477715 0.03477715]",0,video_sidemen_official
How THE TEENAGE MUTANT NINJA TURTLES nearly became only children to SHREDDER,how teenage mutant ninja turtles nearly became only children shredder,"[0.02611678 0.02611678 0.5558194  0.02611689 0.02611678 0.02611678
 0.02611678 0.02611689 0.02611776 0.02611678 0.026117   0.18301135]",0,video_sidemen_official
When VAN HELSING put DRACULA in a coffin after becoming a WEREWOLF,van helsing put dracula coffin after becoming werewolf,"[0.02790367 0.02790367 0.69305959 0.02790367 0.02790367 0.02790367
 0.02790367 0.02790367 0.02790367 0.02790367 0.02790367 0.02790367]",0,video_sidemen_official
When THE AVENGERS had a CIVIL WAR over THE WINTER SOLDIER,avengers had civil war over winter soldier,"[0.4433883  0.02579966 0.02579966 0.02579966 0.1513566  0.17305744
 0.02579966 0.02580034 0.02579966 0.02579966 0.02579966 0.02579966]",0,video_sidemen_official
When THE AVENGERS had a CIVIL WAR over THE WINTER SOLDIER,avengers had civil war over winter soldier,"[0.4433883  0.02579966 0.02579966 0.02579966 0.1513566  0.17305744
 0.02579966 0.02580034 0.02579966 0.02579966 0.02579966 0.02579966]",0,video_sidemen_official
SIDEMEN CATEGORIES: FOOTBALL EDITION,sidemen categories football edition,"[0.03085899 0.0308593  0.40672805 0.0308588  0.03085944 0.0308591
 0.28467918 0.0308588  0.0308588  0.03085956 0.03086096 0.03085901]",0,video_sidemen_official
Killswitch Engage - My Last Serenade [OFFICIAL VIDEO],killswitch engage last serenade official video,"[0.02794747 0.02794747 0.49668774 0.02794747 0.02794747 0.02794747
 0.22383748 0.02794747 0.02794747 0.02794747 0.02794747 0.02794755]",0,video_sidemen_official
10 Tips That Could Save Your Life,10 tips could save life,"[0.44157075 0.02592343 0.14626596 0.02592343 0.02592343 0.02592343
 0.02592343 0.1788524  0.02592343 0.02592343 0.02592343 0.02592343]",0,video_sidemen_official
CARDS AGAINST HUMANITY #10 with Vikkstar,cards against humanity 10 vikkstar,"[0.66039684 0.02300601 0.02300601 0.02300601 0.02300601 0.02300601
 0.02300601 0.10954302 0.02300601 0.02300601 0.02300601 0.02300601]",0,video_sidemen_official
THE NEXT MEME! - CARDS AGAINST HUMANITY,next meme cards against humanity,"[0.54734936 0.22391373 0.02287369 0.02287369 0.02287369 0.02287369
 0.02287369 0.02287369 0.02287369 0.02287369 0.02287369 0.02287369]",0,video_sidemen_official
JJs NEW EP! - CARDS AGAINST HUMANITY,jjs new ep cards against humanity,"[0.56416626 0.02297751 0.02297751 0.02297751 0.02297751 0.02297766
 0.02297751 0.02297774 0.20605823 0.02297751 0.02297751 0.02297751]",0,video_sidemen_official
When The INDOMINUS REX absolutely SHUT DOWN Jurassic World,indominus rex absolutely shut down jurassic world,"[0.6186226  0.03467028 0.03467028 0.0346742  0.03467028 0.03467028
 0.0346707  0.03467028 0.03467028 0.03467028 0.03467028 0.03467028]",0,video_sidemen_official
SIDEMEN WHO WANTS TO BE A MILLIONAIRE: PHONE A FRIEND EDITION,sidemen who wants be millionaire phone friend edition,"[0.02326404 0.02326339 0.74411369 0.02326201 0.02326212 0.02326206
 0.02326211 0.02326201 0.02326201 0.02326214 0.02326236 0.02326205]",0,video_sidemen_official
WHAT WOULD I DO FOR $5 BILLION?! - CARDS AGAINST HUMANITY,would do 5 billion cards against humanity,"[0.49974652 0.12673969 0.17671016 0.02186706 0.02186717 0.02186706
 0.02186706 0.02186706 0.02186706 0.02186706 0.02186706 0.02186706]",0,video_sidemen_official
FIRING SHOTS! - CARDS AGAINST HUMANITY,firing shots cards against humanity,"[0.73394629 0.0241867  0.0241867  0.0241867  0.0241867  0.0241867
 0.0241867  0.02418676 0.0241867  0.0241867  0.0241867  0.0241867 ]",0,video_sidemen_official
How THANOS bullied the INFINTY STONE from THE AVENGERS in Wakanda,how thanos bullied infinty stone avengers wakanda,"[0.03119707 0.03119707 0.41183912 0.03119743 0.03119707 0.27618424
 0.03119707 0.03119743 0.03120117 0.03119707 0.03119779 0.03119747]",0,video_sidemen_official
When SPIDER-MAN hunted down the SINISTER SIX after getting JUMPED,spiderman hunted down sinister six after getting jumped,"[0.20290324 0.02780778 0.2085737  0.02780778 0.02780778 0.02780778
 0.16274135 0.02780778 0.02780778 0.02780778 0.20331949 0.02780778]",0,video_sidemen_official
Quinn XCII - Could've Had It All (Prod. Luminox),quinn xcii couldve had prod luminox,"[0.61981444 0.03456232 0.03456232 0.03456232 0.03456232 0.03456232
 0.03456232 0.03456232 0.03456232 0.03456232 0.03456232 0.03456232]",0,video_sidemen_official
People With 0% IQ (Set 8 Moments),people 0 iq set 8 moments,"[0.29313111 0.2308826  0.2226668  0.02814531 0.02815079 0.02814612
 0.02814731 0.0281466  0.02814531 0.02814745 0.02814531 0.02814531]",0,video_sidemen_official
SIDEMEN CONTROVERSIAL TWEETS,sidemen controversial tweets,"[0.60636334 0.03578504 0.03578575 0.0357831  0.03578558 0.03578425
 0.03578534 0.0357831  0.0357831  0.03578605 0.03579146 0.03578389]",0,video_sidemen_official
SIDEMEN GUESS THE EMOJI: YOUTUBER EDITION,sidemen guess emoji youtuber edition,"[0.02836591 0.22985467 0.48648484 0.02836581 0.02836613 0.02836596
 0.0283661  0.02836581 0.02836581 0.02836619 0.02836687 0.02836591]",0,video_sidemen_official
SIDEMEN LEAK THEIR CAMERA ROLLS,sidemen leak camera rolls,"[0.03586547 0.0358658  0.60547637 0.03586526 0.03586595 0.03586558
 0.03586589 0.03586526 0.03586526 0.03586608 0.03586759 0.03586548]",0,video_sidemen_official
