Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
I Ranked Every Spider-Man Villain,ranked every spiderman villain,"[0.02804977 0.23101478 0.02805007 0.02804977 0.02804977 0.02804977
 0.1695636  0.02804977 0.34697339 0.02804977 0.02804977 0.02804977]",5,shorts_how_sidemen
Batman: Arkham Asylum - A Horror Retrospective,batman arkham asylum horror retrospective,"[0.02781516 0.02781516 0.02781516 0.02781516 0.02781516 0.69403324
 0.02781516 0.02781516 0.02781516 0.02781516 0.02781516 0.02781516]",5,shorts_how_sidemen
New Secretary Steals the Show on Her First Day! | Suits #series #shorts #lawyer,new secretary steals show first day suits series shorts lawyer,"[0.02312487 0.02312407 0.02312407 0.135871   0.02312407 0.63288454
 0.02312407 0.02312452 0.02312526 0.02312407 0.02312538 0.02312407]",5,shorts_how_sidemen
Mike Won The Argument|| Suits,mike won argument suits,"[0.03062497 0.47803036 0.03062497 0.21571992 0.03062497 0.03062497
 0.03062497 0.03062497 0.03062497 0.03062497 0.03062497 0.03062497]",5,shorts_how_sidemen
Suits RECAP: Full Series,suits recap full series,"[0.02800623 0.02800623 0.02800623 0.23988056 0.02800623 0.48005706
 0.02800623 0.02800623 0.02800623 0.02800623 0.02800623 0.02800634]",5,shorts_how_sidemen
EXTREMELY WEIRD MEMES!,extremely weird memes,"[0.03451873 0.03451873 0.03451873 0.03451873 0.03451873 0.62029399
 0.03451873 0.03451873 0.03451873 0.03451873 0.03451873 0.03451873]",5,shorts_how_sidemen
MOST OUTRAGEOUS *MORESIDEMEN* MOMENTS!,most outrageous moresidemen moments,"[0.03107375 0.03107432 0.03107336 0.03107336 0.03107634 0.65818262
 0.03107737 0.03107414 0.03107336 0.03107465 0.03107336 0.03107336]",5,shorts_how_sidemen
REACTING TO W2S BEING A SAVAGE,reacting w2s being savage,"[0.02593113 0.02593113 0.02593113 0.02593113 0.13405375 0.02593113
 0.02593113 0.02593113 0.02593113 0.60663493 0.02593113 0.02593113]",5,shorts_how_sidemen
STERLING: The WORST Performance of all Time,sterling worst performance time,"[0.03081256 0.03081278 0.03081256 0.03081256 0.03081256 0.03081266
 0.03081296 0.03081256 0.66106094 0.03081256 0.03081272 0.03081256]",5,shorts_how_sidemen
Coulda Been Love Episode 1: Meet the Bachelor,coulda been love episode 1 meet bachelor,"[0.22283418 0.47168314 0.03054827 0.03054827 0.03054827 0.03054827
 0.03054827 0.03054827 0.03054827 0.03054827 0.03054827 0.03054827]",5,shorts_how_sidemen
BEATING MONSTER HUNTER WILDS… 🧌,beating monster hunter wilds,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]",5,shorts_how_sidemen
DARKEST HUMOUR ON THE INTERNET!,darkest humour internet,"[0.03451808 0.62030111 0.03451808 0.03451808 0.03451808 0.03451808
 0.03451808 0.03451808 0.03451808 0.03451808 0.03451808 0.03451808]",5,shorts_how_sidemen
Best Sidemen Roasts Moments,best sidemen roasts moments,"[0.02655414 0.02655426 0.0265542  0.02655401 0.02655482 0.02655418
 0.02655452 0.02655416 0.02655401 0.70790301 0.0265546  0.02655411]",5,shorts_how_sidemen
Brain Rot... But It’s The 2010s,brain rot 2010s,"[0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333]",5,shorts_how_sidemen
BEST *JJ OLATUNJI* MOMENTS!,best jj olatunji moments,"[0.03451816 0.03451833 0.03451782 0.03451782 0.03452337 0.03451825
 0.03451942 0.03451852 0.03451782 0.62029468 0.03451782 0.03451801]",5,shorts_how_sidemen
BEST *SIDEMEN BEEF ERA* MOMENTS,best sidemen beef era moments,"[0.02649281 0.02649293 0.02649287 0.02649268 0.02649349 0.02649286
 0.02649319 0.02649283 0.02649268 0.70857762 0.02649327 0.02649278]",5,shorts_how_sidemen
