Original_Title,Cleaned_Title,Cluster,Cluster_Name
"$10,000 Hong Kong apartment #shorts #nyc",10000 hong kong apartment nyc,3,Housing & Real Estate
"$20,000 LA apartment #shorts #la",20000 la apartment la,3,Housing & Real Estate
$$$$ LA Apartment #shorts #la,la apartment la,3,Housing & Real Estate
$1500 NYC apartment #shorts #nyc,1500 nyc apartment nyc,3,Housing & Real Estate
$4000 NYC apartment #shorts #nyc,4000 nyc apartment nyc,3,Housing & Real Estate
$500 NYC apartment #shorts #nyc,500 nyc apartment nyc,3,Housing & Real Estate
$3300 NYC apartment #shorts #nyc,3300 nyc apartment nyc,3,Housing & Real Estate
$7500 NYC apartment #shorts #nyc,7500 nyc apartment nyc,3,Housing & Real Estate
$9000 LA apartment #shorts #la,9000 la apartment la,3,Housing & Real Estate
"$20,000 NYC apartment #shorts #nyc",20000 nyc apartment nyc,3,Housing & Real Estate
$5000 NYC apartment #shorts #nyc,5000 nyc apartment nyc,3,Housing & Real Estate
$5000 NYC apartment #shorts #nyc,5000 nyc apartment nyc,3,Housing & Real Estate
SMALLEST Apartment in New York City #shorts #nyc,smallest apartment york city nyc,3,Housing & Real Estate
"$40,000 LA apartment #shorts #la",40000 la apartment la,3,Housing & Real Estate
$687 NYC apartment #shorts #nyc,687 nyc apartment nyc,3,Housing & Real Estate
$14000 LA apartment #shorts #nyc,14000 la apartment nyc,3,Housing & Real Estate
$5000 NYC apartment #shorts #nyc,5000 nyc apartment nyc,3,Housing & Real Estate
2.5 million NYC apartment #shorts #nyc,25 million nyc apartment nyc,3,Housing & Real Estate
15 Million NYC apartment #shorts #nyc,15 million nyc apartment nyc,3,Housing & Real Estate
$1875 NYC apartment #shorts #nyc,1875 nyc apartment nyc,3,Housing & Real Estate
$3100 NYC apartment #shorts #nyc,3100 nyc apartment nyc,3,Housing & Real Estate
ABANDONED JAPANESE APARTMENT #shorts #nyc  @ANTONINJAPAN,abandoned japanese apartment nyc antoninjapan,3,Housing & Real Estate
$2100 NYC apartment #shorts #nyc,2100 nyc apartment nyc,3,Housing & Real Estate
"$48,000 NYC apartment #shorts #nyc",48000 nyc apartment nyc,3,Housing & Real Estate
$560 NYC apartment #shorts #nyc,560 nyc apartment nyc,3,Housing & Real Estate
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,3,Housing & Real Estate
$3000 NYC apartment #shorts #nyc,3000 nyc apartment nyc,3,Housing & Real Estate
Japan Apartment Tour #japan #home tour,japan apartment tour japan home tour,3,Housing & Real Estate
$2600 NYC apartment #shorts #nyc,2600 nyc apartment nyc,3,Housing & Real Estate
NYC APARTMENT TOUR #shorts #nyc,nyc apartment tour nyc,3,Housing & Real Estate
#ad New York City Apartment Tour! @TakisUSA,ad york city apartment tour takisusa,3,Housing & Real Estate
$$$ NYC apartments #shorts #nyc,nyc apartments nyc,3,Housing & Real Estate
