Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
Top Scary Coincidences in History,top scary coincidences history,"[0.21166099 0.03066614 0.03066614 0.03066614 0.03066614 0.03066614
 0.23432524 0.03066614 0.27801851 0.03066614 0.03066614 0.03066614]",7,football_vs_most
WORST EVER MOVIE CGI MOMENTS!,worst ever movie cgi moments,"[0.02791179 0.02791209 0.02791168 0.02791168 0.0279125  0.02791194
 0.69296754 0.02791189 0.02791349 0.02791203 0.02791168 0.02791168]",7,football_vs_most
Top 10 Worst Animated Movie Rip Offs,top 10 worst animated movie rip offs,"[0.50313892 0.02433004 0.02432961 0.02432961 0.02432961 0.02432977
 0.25356216 0.02432961 0.02433184 0.02432961 0.02432961 0.02432961]",7,football_vs_most
Craziest Red Cards in Football #2,craziest red cards football 2,"[0.33829233 0.02602763 0.02602763 0.02602763 0.02602763 0.21071869
 0.21674029 0.02602763 0.02602763 0.02602763 0.02602763 0.02602763]",7,football_vs_most
Craziest Red Cards in Football,craziest red cards football,"[0.33829233 0.02602763 0.02602763 0.02602763 0.02602763 0.21071869
 0.21674029 0.02602763 0.02602763 0.02602763 0.02602763 0.02602763]",7,football_vs_most
Spain | Road to Victory - EURO 2024,spain road victory euro 2024,"[0.02784739 0.02784739 0.02784739 0.02784739 0.02784739 0.02784739
 0.6936787  0.02784739 0.02784739 0.02784739 0.02784739 0.02784739]",7,football_vs_most
Who’s This Person From History? Quiz,whos person history quiz,"[0.0278662  0.0278662  0.0278662  0.19938668 0.0278662  0.0278662
 0.52195131 0.0278662  0.0278662  0.0278662  0.0278662  0.0278662 ]",7,football_vs_most
UNDERRATED W2S MOMENTS...😭🤣 #shorts,underrated w2s moments shorts,"[0.14300779 0.0286815  0.02868141 0.02868197 0.27430796 0.02868243
 0.32454842 0.02868252 0.02868141 0.02868179 0.02868141 0.02868141]",7,football_vs_most
MOST ICONIC SIDEMEN MOMENTS OF ALL TIME!,most iconic sidemen moments time,"[0.0234869  0.02348726 0.02348698 0.02348676 0.02348755 0.39148037
 0.37364774 0.02348691 0.0234877  0.02348726 0.02348774 0.02348683]",7,football_vs_most
"Most ""Gangsta"" Moments In Sports",most gangsta moments sports,"[0.02844478 0.02844489 0.02844465 0.02844563 0.0284457  0.02844493
 0.54000297 0.17554741 0.02844465 0.0284451  0.02844465 0.02844465]",7,football_vs_most
"""Here's Hogg... DEENEY!"" | Best end to a football match EVER",heres hogg deeney best end football match ever,"[0.02455353 0.17581711 0.02455353 0.02455353 0.02455364 0.02455356
 0.57864697 0.02455353 0.02455353 0.02455397 0.02455353 0.0245536 ]",7,football_vs_most
Hilarious Driving Lesson Fails,hilarious driving lesson fails,"[0.03053341 0.03053341 0.03053341 0.03053341 0.03053341 0.03053341
 0.66413245 0.03053341 0.03053341 0.03053341 0.03053341 0.03053341]",7,football_vs_most
Venom Death Scene | VENOM: THE LAST DANCE (2024) Movie CLIP HD,venom death scene venom last dance 2024 movie clip hd,"[0.02017436 0.02017436 0.02017436 0.02017436 0.02017436 0.02017437
 0.70997277 0.02017436 0.02017436 0.08828363 0.02017436 0.02017436]",7,football_vs_most
