Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
MUST SEE: Goodison Park ERUPTS with Tarkowski's equalizer v. Liverpool | Premier League | NBC Sports,must see goodison park erupts tarkowskis equalizer v liverpool premier league nbc sports,"[0.01901568 0.01901568 0.01901568 0.0190157  0.01901568 0.01901568
 0.01901568 0.79082754 0.01901568 0.01901568 0.01901568 0.01901568]",6,league_premier_sports
Demarai Gray stoppage-time stunner gets Everton in front | Premier League | NBC Sports,demarai gray stoppagetime stunner gets everton front premier league nbc sports,"[0.020369   0.09733691 0.020369   0.02036903 0.020369   0.020369
 0.020369   0.69897309 0.020369   0.020369   0.020369   0.020369  ]",6,league_premier_sports
Everton v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 2/12/2025 | NBC Sports,everton v liverpool premier league highlights 2122025 nbc sports,"[0.01958734 0.01958734 0.01958734 0.01958771 0.01958734 0.01958734
 0.01958734 0.78453887 0.01958734 0.01958734 0.01958734 0.01958734]",6,league_premier_sports
Joe Willock gives Newcastle United liftoff against Chelsea | Premier League | NBC Sports,joe willock gives newcastle united liftoff against chelsea premier league nbc sports,"[0.07633641 0.01739157 0.01739157 0.01739158 0.01739157 0.01739157
 0.01739157 0.74974789 0.01739157 0.01739157 0.01739157 0.01739157]",6,league_premier_sports
How the media shapes the way we view the world - BBC REEL,how media shapes way view world bbc reel,"[0.02623095 0.02622991 0.02623041 0.14615213 0.02622991 0.02622991
 0.02623035 0.59154399 0.02623199 0.02622991 0.02623037 0.02623017]",6,league_premier_sports
GREATEST VIOLATIONS THAT WILL LEAVE YOU SHOCKED!,greatest violations will leave shocked,"[0.02799075 0.17410317 0.0279849  0.0279849  0.0279849  0.0279849
 0.0279849  0.35629744 0.0279849  0.0279849  0.21772944 0.0279849 ]",6,league_premier_sports
BEST *STOP VIKKSTAR ABUSE* MOMENTS!,best stop vikkstar abuse moments,"[0.02814767 0.02814798 0.02814736 0.02814736 0.02815019 0.02814775
 0.02814921 0.27140192 0.02814736 0.23313964 0.24212589 0.02814767]",6,league_premier_sports
ARSENAL ARE A DISGRACE...,arsenal disgrace,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.54166667 0.04166667 0.04166667 0.04166667 0.04166667]",6,league_premier_sports
The ENTIRE Premier League so far in a Nutshell (HATEWATCHING EPISODE 2),entire premier league so far nutshell hatewatching episode 2,"[0.0221041  0.43593479 0.0221041  0.02210412 0.0221041  0.0221041
 0.0221041  0.34302414 0.02210415 0.0221041  0.0221041  0.0221041 ]",6,league_premier_sports
LOCKDOWN ARSENAL: The Worst Team Ever,lockdown arsenal worst team ever,"[0.02584962 0.41879299 0.02584962 0.02584962 0.02584962 0.02584981
 0.02585533 0.32270191 0.02585263 0.02584962 0.02584962 0.02584962]",6,league_premier_sports
The MANAGER That Almost DESTROYED ARSENAL...,manager almost destroyed arsenal,"[0.24314657 0.03062058 0.03062058 0.03062058 0.03062058 0.03062058
 0.03062058 0.45064768 0.03062058 0.03062058 0.03062058 0.03062058]",6,league_premier_sports
NEWCASTLE 2-0 ARSENAL LIVE WATCHALONG,newcastle 20 arsenal live watchalong,"[0.02784098 0.02783893 0.18957353 0.02783893 0.02783893 0.02783893
 0.02783893 0.53203514 0.02783893 0.02783893 0.02783893 0.02783893]",6,league_premier_sports
ARSENAL HUMBLE MAN CITY 🤯 | HATEWATCHING,arsenal humble man city hatewatching,"[0.02792561 0.02792561 0.02792561 0.02792561 0.02792561 0.02792561
 0.02792561 0.69281827 0.02792568 0.02792561 0.02792561 0.02792561]",6,league_premier_sports
SIDEMEN EXTREME HOT VS COLD CAMPING,sidemen extreme hot vs cold camping,"[0.0264745  0.02647542 0.02647594 0.02647567 0.02647582 0.02647469
 0.0264762  0.6206301  0.02647384 0.02647602 0.11461737 0.02647443]",6,league_premier_sports
Viewed NBA players really thought Shams got hacked instead of Luka getting TRADED😭,viewed nba players really thought shams got hacked instead luka getting traded,"[0.1483414  0.0242562  0.13182931 0.0242562  0.0242562  0.0242562
 0.0242562  0.30993836 0.0242562  0.0242562  0.2158413  0.0242562 ]",6,league_premier_sports
SIDEMEN LOCKDOWN PROTOCOL,sidemen lockdown protocol,"[0.0355386  0.03553926 0.03553965 0.03553819 0.03553955 0.03553883
 0.03553943 0.41556047 0.03553819 0.03553982 0.22904938 0.03553863]",6,league_premier_sports
Manchester United v. Crystal Palace | PREMIER LEAGUE HIGHLIGHTS | 2/2/2025 | NBC Sports,manchester united v crystal palace premier league highlights 222025 nbc sports,"[0.01790225 0.01790225 0.01790225 0.01790241 0.01790225 0.01790225
 0.01790225 0.80307507 0.01790225 0.01790225 0.01790225 0.01790225]",6,league_premier_sports
Nottingham Forest v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 2/1/2025 | NBC Sports,nottingham forest v brighton premier league highlights 212025 nbc sports,"[0.0185635  0.0185635  0.0185635  0.01856367 0.0185635  0.0185635
 0.0185635  0.79580128 0.0185635  0.0185635  0.0185635  0.0185635 ]",6,league_premier_sports
Nottingham Forest v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 2/1/2025 | NBC Sports,nottingham forest v brighton premier league highlights 212025 nbc sports,"[0.0185635  0.0185635  0.0185635  0.01856367 0.0185635  0.0185635
 0.0185635  0.79580128 0.0185635  0.0185635  0.0185635  0.0185635 ]",6,league_premier_sports
How Good Were The Miami Heat Big 3 Actually?,how good miami heat big 3 actually,"[0.02449616 0.13759884 0.02449654 0.02449634 0.02449775 0.02449616
 0.02449616 0.61743527 0.02449774 0.02449616 0.02449652 0.02449636]",6,league_premier_sports
ARSENAL WILL BEAT MAN CITY!? 🤯 | Biased Premier League Predictions Gameweek 24,arsenal will beat man city biased premier league predictions gameweek 24,"[0.02023118 0.02023012 0.1084371  0.02023013 0.02023012 0.02023012
 0.11329563 0.59619509 0.02023015 0.02023012 0.02023012 0.02023012]",6,league_premier_sports
I PACKED A 2M+ ICON IN MY TOTY PACK OPENING!,packed 2m icon toty pack opening,"[0.03452768 0.03452768 0.03452768 0.03452768 0.03452768 0.03452768
 0.03452768 0.62019549 0.03452768 0.03452768 0.03452768 0.03452768]",6,league_premier_sports
The ENTIRE EUROS In A Nutshell,entire euros nutshell,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.54166667 0.04166667 0.04166667 0.04166667 0.04166667]",6,league_premier_sports
Analysing TOXIC players to see if it's a Skill Issue or Support diff,analysing toxic players see if skill issue support diff,"[0.02786441 0.02786441 0.02786702 0.02786441 0.02786441 0.02786441
 0.02786441 0.69348757 0.02786441 0.02786441 0.02786574 0.02786441]",6,league_premier_sports
Every Premier League Team Explained in 8 Minutes,every premier league team explained 8 minutes,"[0.02298713 0.14838157 0.14069501 0.02298717 0.02298713 0.02298713
 0.02298713 0.29545259 0.23156926 0.02298713 0.02299161 0.02298713]",6,league_premier_sports
EVERY Time TOTTENHAM Have BOTTLED It,every time tottenham have bottled,"[0.02593482 0.02592688 0.02592678 0.02592678 0.02592678 0.02592687
 0.0259269  0.30998107 0.43074265 0.02592678 0.02592693 0.02592678]",6,league_premier_sports
"How Good Were The ""Lob City"" Clippers Actually?",how good lob city clippers actually,"[0.02803989 0.02803989 0.02804053 0.02804018 0.02804244 0.02803989
 0.02803989 0.69155418 0.02804254 0.02803989 0.02804048 0.02804022]",6,league_premier_sports
Hidden Chats You Didn't See On TV,hidden chats didnt see tv,"[0.02780188 0.02780188 0.02780188 0.02780188 0.02780188 0.02780188
 0.20589041 0.51609082 0.02780188 0.02780188 0.02780188 0.02780188]",6,league_premier_sports
Tottenham Hotspur v. Leicester City | PREMIER LEAGUE HIGHLIGHTS | 1/26/2025 | NBC Sports,tottenham hotspur v leicester city premier league highlights 1262025 nbc sports,"[0.01739479 0.01739479 0.01739479 0.01739492 0.01739479 0.01739479
 0.01739479 0.80865714 0.01739479 0.01739479 0.01739479 0.01739479]",6,league_premier_sports
How Did Premier League Teams Get Their Names & Nicknames?,how did premier league teams get names nicknames,"[0.02227183 0.02227183 0.0222721  0.02227197 0.10874337 0.02227183
 0.02227183 0.6685364  0.02227293 0.02227183 0.02227208 0.02227197]",6,league_premier_sports
Bench Moments You Didn't See On TV,bench moments didnt see tv,"[0.02810379 0.02810377 0.02810365 0.02810365 0.02810473 0.02810383
 0.02810408 0.69085745 0.02810365 0.02810411 0.02810365 0.02810365]",6,league_premier_sports
Simple Linear Regression:  Checking Assumptions with Residual Plots,simple linear regression checking assumptions residual plots,"[0.03050691 0.24839658 0.03050691 0.03050691 0.03050691 0.03050691
 0.03050691 0.44653434 0.03050691 0.03050691 0.03050691 0.03050691]",6,league_premier_sports
SIDEMEN FC24 PACK OPENING CHALLENGE: THE LOSER PAYS FOR EVERYONE!,sidemen fc24 pack opening challenge loser pays everyone,"[0.02630644 0.02630659 0.02630669 0.17383106 0.02630666 0.02630649
 0.02630663 0.36695131 0.02630635 0.02630673 0.22245859 0.02630645]",6,league_premier_sports
SIDEMEN FORFEIT PACK OPENING CHALLENGE,sidemen forfeit pack opening challenge,"[0.0263641  0.02636424 0.02636433 0.026364   0.02636431 0.02636415
 0.21376856 0.35359517 0.026364   0.02636437 0.19535868 0.0263641 ]",6,league_premier_sports
Manchester United vs Brighton Watchalong Mark Goldbridge,manchester united vs brighton watchalong mark goldbridge,"[0.02448701 0.02448704 0.02448703 0.02448809 0.02448704 0.02448694
 0.02448735 0.73064165 0.02448694 0.02448694 0.02448704 0.02448694]",6,league_premier_sports
EVERY TEN HAG LOSS AS MANCHESTER UNITED MANAGER: The Worst Manager Ever,every ten hag loss manchester united manager worst manager ever,"[0.02303073 0.02303193 0.02303073 0.02303073 0.02303073 0.02303109
 0.12760638 0.3265949  0.20117808 0.02303073 0.16037325 0.02303073]",6,league_premier_sports
LOCKDOWN ARSENAL: The Worst Team Ever,lockdown arsenal worst team ever,"[0.02584962 0.41879299 0.02584962 0.02584962 0.02584962 0.02584981
 0.02585533 0.32270191 0.02585263 0.02584962 0.02584962 0.02584962]",6,league_premier_sports
Bob Dylan - Maggie's Farm (Live At Newport Folk Festival - 1965) - 4K Restoration,bob dylan maggies farm live newport folk festival 1965 4k restoration,"[0.03451791 0.03451791 0.03451791 0.03451791 0.03451791 0.3284112
 0.03451791 0.32640965 0.03451791 0.03451791 0.03451791 0.03451791]",6,league_premier_sports
"Is the NBA becoming a ""daddy's money"" league?",nba becoming daddys money league,"[0.02817917 0.02817917 0.24286205 0.0281792  0.02817917 0.02817917
 0.02817917 0.47534625 0.02817917 0.02817917 0.02817917 0.02817917]",6,league_premier_sports
"News Today: National prayer service, Southern snow storms, latest Trump updates",news today national prayer service southern snow storms latest trump updates,"[0.02780065 0.2071067  0.02780065 0.02780065 0.19581562 0.02780065
 0.02780065 0.34687179 0.02780065 0.02780065 0.02780065 0.02780065]",6,league_premier_sports
Every Premier League Team Explained in 8 Minutes,every premier league team explained 8 minutes,"[0.02298713 0.14838157 0.14069501 0.02298717 0.02298713 0.02298713
 0.02298713 0.29545259 0.23156926 0.02298713 0.02299161 0.02298713]",6,league_premier_sports
Chelsea v. Wolves | PREMIER LEAGUE HIGHLIGHTS | 1/20/2025 | NBC Sports,chelsea v wolves premier league highlights 1202025 nbc sports,"[0.02028843 0.02028843 0.02028843 0.02028863 0.02028843 0.02028843
 0.02028843 0.77682706 0.02028843 0.02028843 0.02028843 0.02028843]",6,league_premier_sports
climbing skyscraper crane in strong wind (jersey city),climbing skyscraper crane strong wind jersey city,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.54166667 0.04166667 0.04166667 0.04166667 0.04166667]",6,league_premier_sports
Manchester United v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 1/19/2025 | NBC Sports,manchester united v brighton premier league highlights 1192025 nbc sports,"[0.01834968 0.01834968 0.01834968 0.0183499  0.01834968 0.01834968
 0.01834968 0.79815326 0.01834968 0.01834968 0.01834968 0.01834968]",6,league_premier_sports
Kung Fu Mantis Vs Jumping Spider | Life Story | BBC,kung fu mantis vs jumping spider life story bbc,"[0.02619839 0.02619841 0.15325102 0.23058673 0.02619841 0.02619834
 0.02619863 0.38037662 0.02619834 0.02619834 0.02619841 0.02619834]",6,league_premier_sports
MUST SEE: Brazilian torpedo Gabriel Araujo claims backstroke gold at Paralympics | NBC Sports,must see brazilian torpedo gabriel araujo claims backstroke gold paralympics nbc sports,"[0.02329009 0.02329009 0.02329009 0.02329012 0.02329009 0.02329009
 0.02329009 0.74380902 0.02329009 0.02329009 0.02329009 0.02329009]",6,league_premier_sports
Incredible Dog Challenge: Dog Diving National Championship | NBC Sports,incredible dog challenge dog diving national championship nbc sports,"[0.02216003 0.02216003 0.02216003 0.02216007 0.02216003 0.02216003
 0.10812744 0.43829943 0.10178587 0.02216003 0.08152893 0.1151381 ]",6,league_premier_sports
Roasting a Huge Bull on a Steel Spit! The Best Meat I've Tasted,roasting huge bull steel spit best meat ive tasted,"[0.03106827 0.03106934 0.03106827 0.03106827 0.03106969 0.03106827
 0.03107102 0.28239258 0.27928876 0.15869805 0.03106827 0.03106922]",6,league_premier_sports
"Palio - Horse Race Disaster - Siena, Italy, 2014",palio horse race disaster siena italy 2014,"[0.23820207 0.0305356  0.0305356  0.0305356  0.0305356  0.0305356
 0.0305356  0.45644189 0.0305356  0.0305356  0.0305356  0.0305356 ]",6,league_premier_sports
Palio Siena Italy Horse Race,palio siena italy horse race,"[0.03456734 0.03456734 0.03456734 0.03456734 0.03456734 0.03456734
 0.03456734 0.61975922 0.03456734 0.03456734 0.03456734 0.03456734]",6,league_premier_sports
"FloyyMenor, Cris MJ - Gata Only",floyymenor cris mj gata only,"[0.03463219 0.03463219 0.29567613 0.03463219 0.03463219 0.03463219
 0.03463219 0.35800197 0.03463219 0.03463219 0.03463219 0.03463219]",6,league_premier_sports
How To Make Ramen,how make ramen,"[0.03118098 0.03118098 0.03118187 0.03118139 0.03118098 0.03118098
 0.03118098 0.65700139 0.03118623 0.03118098 0.03118181 0.03118144]",6,league_premier_sports
Manchester United v. Southampton | PREMIER LEAGUE HIGHLIGHTS | 1/16/2025 | NBC Sports,manchester united v southampton premier league highlights 1162025 nbc sports,"[0.01893046 0.01893046 0.01893046 0.01893075 0.01893046 0.01893046
 0.01893046 0.79176464 0.01893046 0.01893046 0.01893046 0.01893046]",6,league_premier_sports
Big Wedge Bunker lesson goes wrong…,big wedge bunker lesson goes wrong,"[0.02423256 0.37334373 0.02423256 0.02423256 0.02423256 0.02423256
 0.16248614 0.24607709 0.02423256 0.02423256 0.02423256 0.02423256]",6,league_premier_sports
