Original_Title,Cleaned_Title,Topic_Vector,Cluster,Cluster_Name
Playboi Carti - BACKR00MS (Lyrics) ft. Travis Scott,playboi carti backr00ms lyrics ft travis scott,"[0.02589677 0.02589677 0.02589677 0.02589677 0.02589683 0.02589677
 0.02589677 0.02589677 0.02589677 0.02589677 0.02589677 0.71513549]",3,nyc_shorts_black
ME Student Access Machine Shop Virtual Tour,me student access machine shop virtual tour,"[0.02598556 0.02598556 0.02598556 0.02598556 0.02598556 0.02598556
 0.02598556 0.02598626 0.02598556 0.02598556 0.02598556 0.71415818]",3,nyc_shorts_black
Playboi Carti Ft Travis Scott - BACKR00MS (Lyrics),playboi carti ft travis scott backr00ms lyrics,"[0.02589677 0.02589677 0.02589677 0.02589677 0.02589683 0.02589677
 0.02589677 0.02589677 0.02589677 0.02589677 0.02589677 0.71513549]",3,nyc_shorts_black
Blind Spicy Chicken Sandwich Taste Test,blind spicy chicken sandwich taste test,"[0.03052933 0.03052933 0.03052933 0.03052933 0.03052933 0.03052933
 0.03052933 0.03052933 0.03052933 0.23098743 0.03052933 0.46371927]",3,nyc_shorts_black
NFL Network,nfl network,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.54166667]",3,nyc_shorts_black
Adele singing “Skyfall” in the pouring rain,adele singing skyfall pouring rain,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.54166667]",3,nyc_shorts_black
LEGO Lord of the Rings Barad-dûr REVIEW | Set 10333,lego lord rings baraddr review set 10333,"[0.02781584 0.02781584 0.20234019 0.02781584 0.02781584 0.02781584
 0.02781584 0.02781584 0.02781584 0.18872642 0.02781584 0.35859086]",3,nyc_shorts_black
The Ultimate Film Studies Watchlist,ultimate film studies watchlist,"[0.03462476 0.03462476 0.03462476 0.03462476 0.03462476 0.35700913
 0.03462476 0.03462476 0.03462476 0.03462476 0.03462476 0.29674331]",3,nyc_shorts_black
The Ultimate Film Studies Watchlist,ultimate film studies watchlist,"[0.03462476 0.03462476 0.03462476 0.03462476 0.03462476 0.35700913
 0.03462476 0.03462476 0.03462476 0.03462476 0.03462476 0.29674331]",3,nyc_shorts_black
TNT,tnt,"[0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667
 0.04166667 0.04166667 0.04166667 0.04166667 0.04166667 0.54166667]",3,nyc_shorts_black
