Original_Title,Cleaned_Title,Cluster,Cluster_Name
Aston Villa v. West Ham United | PREMIER LEAGUE HIGHLIGHTS | 8/17/2024 | NBC Sports,aston villa v west ham united premier league highlights 8172024 nbc sports,8,Sports
Nottingham Forest v. Bournemouth | PREMIER LEAGUE HIGHLIGHTS | 8/17/2024 | NBC Sports,nottingham forest v bournemouth premier league highlights 8172024 nbc sports,8,Sports
Everton v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 8/17/2024 | NBC Sports,everton v brighton premier league highlights 8172024 nbc sports,8,Sports
Manchester United v. Fulham | PREMIER LEAGUE HIGHLIGHTS | 8/16/2024 | NBC Sports,manchester united v fulham premier league highlights 8162024 nbc sports,8,Sports
Moises Caicedo's belter from own half gives Chelsea lead v. Cherries | Premier League | NBC Sports,moises caicedos belter half gives chelsea lead v cherries premier league nbc sports,8,Sports
Sancho sends the defender and scores vs Liverpool,sancho sends defender scores liverpool,8,Sports
Chelsea v. Bournemouth | PREMIER LEAGUE HIGHLIGHTS | 5/19/2024 | NBC Sports,chelsea v bournemouth premier league highlights 5192024 nbc sports,8,Sports
Moises Caicedo's belter from own half gives Chelsea lead v. Cherries | Premier League | NBC Sports,moises caicedos belter half gives chelsea lead v cherries premier league nbc sports,8,Sports
Quarter Final: DOOM VS HAM,quarter final doom ham,8,Sports
Manchester United v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 5/12/2024 | NBC Sports,manchester united v arsenal premier league highlights 5122024 nbc sports,8,Sports
Nottingham Forest v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 5/11/2024 | NBC Sports,nottingham forest v chelsea premier league highlights 5112024 nbc sports,8,Sports
Tottenham Hotspur v. Burnley | PREMIER LEAGUE HIGHLIGHTS | 5/11/2024 | NBC Sports,tottenham hotspur v burnley premier league highlights 5112024 nbc sports,8,Sports
Crystal Palace v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 5/6/2024 | NBC Sports,crystal palace v manchester united premier league highlights 562024 nbc sports,8,Sports
Brighton v. Aston Villa | PREMIER LEAGUE HIGHLIGHTS | 5/5/2024 | NBC Sports,brighton v aston villa premier league highlights 552024 nbc sports,8,Sports
Liverpool v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 5/5/2024 | NBC Sports,liverpool v tottenham hotspur premier league highlights 552024 nbc sports,8,Sports
Chelsea v. West Ham United | PREMIER LEAGUE HIGHLIGHTS | 5/5/2024 | NBC Sports,chelsea v west ham united premier league highlights 552024 nbc sports,8,Sports
Arsenal v. Bournemouth | PREMIER LEAGUE HIGHLIGHTS | 5/4/2024 | NBC Sports,arsenal v bournemouth premier league highlights 542024 nbc sports,8,Sports
Luton Town v. Everton | PREMIER LEAGUE HIGHLIGHTS | 5/3/2024 | NBC Sports,luton town v everton premier league highlights 532024 nbc sports,8,Sports
Chelsea v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 5/2/2024 | NBC Sports,chelsea v tottenham hotspur premier league highlights 522024 nbc sports,8,Sports
Arsenal v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 4/23/2024 | NBC Sports,arsenal v chelsea premier league highlights 4232024 nbc sports,8,Sports
Nicolas Jackson Misses 2 MASSIVE Chances in 15s ! ❌🚨 #mciche  #chelsea  #facup,nicolas jackson misses 2 massive chances 15s mciche chelsea facup,8,Sports
Wolves beat Suns by 25 to take game 1,wolves beat suns 25 take game 1,8,Sports
"As an Arsenal fan, would you swap 🤔 #football #arsenal #liverpool",arsenal fan would swap football arsenal liverpool,8,Sports
Wolves v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 4/20/2024 | NBC Sports,wolves v arsenal premier league highlights 4202024 nbc sports,8,Sports
Transfer Football Trivia pt.3 ⚽️ #football #chelsea,transfer football trivia pt3 football chelsea,8,Sports
Manchester City v. Luton Town | PREMIER LEAGUE HIGHLIGHTS | 4/13/2024 | NBC Sports,manchester city v luton town premier league highlights 4132024 nbc sports,8,Sports
Bournemouth v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 4/13/2024 | NBC Sports,bournemouth v manchester united premier league highlights 4132024 nbc sports,8,Sports
Burnley v. Brighton | PREMIER LEAGUE HIGHLIGHTS | 4/13/2024 | NBC Sports,burnley v brighton premier league highlights 4132024 nbc sports,8,Sports
Newcastle United v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 4/13/2024 | NBC Sports,newcastle united v tottenham hotspur premier league highlights 4132024 nbc sports,8,Sports
Chelsea 16/17 vs Arsenal 23/24 👀 #football #chelsea #arsenal,chelsea 1617 arsenal 2324 football chelsea arsenal,8,Sports
Top quality! KDB scores against Arsenal,quality kdb scores arsenal,8,Sports
I drove a shrunken Aston Martin. 🫨,drove shrunken aston martin,8,Sports
Tottenham Hotspur v. Nottingham Forest | PREMIER LEAGUE HIGHLIGHTS | 4/6/2024 | NBC Sports,tottenham hotspur v nottingham forest premier league highlights 462024 nbc sports,8,Sports
Sheffield United v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 4/6/2024 | NBC Sports,sheffield united v chelsea premier league highlights 462024 nbc sports,8,Sports
Manchester United v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 4/6/2024 | NBC Sports,manchester united v liverpool premier league highlights 462024 nbc sports,8,Sports
Aston Villa v. Brentford | PREMIER LEAGUE HIGHLIGHTS | 4/6/2024 | NBC Sports,aston villa v brentford premier league highlights 462024 nbc sports,8,Sports
Brighton v. Arsenal | PREMIER LEAGUE HIGHLIGHTS | 4/6/2024 | NBC Sports,brighton v arsenal premier league highlights 462024 nbc sports,8,Sports
Julio Enciso scores 35-yard STUNNER vs Chelsea 🚀,julio enciso scores 35yard stunner chelsea,8,Sports
Luton Town v. Bournemouth | PREMIER LEAGUE HIGHLIGHTS | 4/6/2024 | NBC Sports,luton town v bournemouth premier league highlights 462024 nbc sports,8,Sports
West Ham United v. Wolves | PREMIER LEAGUE HIGHLIGHTS | 4/6/2024 | NBC Sports,west ham united v wolves premier league highlights 462024 nbc sports,8,Sports
Chelsea v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 4/4/2024 | NBC Sports,chelsea v manchester united premier league highlights 442024 nbc sports,8,Sports
Liverpool v. Sheffield United | PREMIER LEAGUE HIGHLIGHTS | 4/4/2024 | NBC Sports,liverpool v sheffield united premier league highlights 442024 nbc sports,8,Sports
Arsenal v. Luton Town | PREMIER LEAGUE HIGHLIGHTS | 4/3/2024 | NBC Sports,arsenal v luton town premier league highlights 432024 nbc sports,8,Sports
Manchester City v. Aston Villa | PREMIER LEAGUE HIGHLIGHTS | 4/3/2024 | NBC Sports,manchester city v aston villa premier league highlights 432024 nbc sports,8,Sports
Burnley v. Wolves | PREMIER LEAGUE HIGHLIGHTS | 4/2/2024 | NBC Sports,burnley v wolves premier league highlights 422024 nbc sports,8,Sports
West Ham United v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 4/2/2024 | NBC Sports,west ham united v tottenham hotspur premier league highlights 422024 nbc sports,8,Sports
Newcastle United v. Everton | PREMIER LEAGUE HIGHLIGHTS | 4/2/2024 | NBC Sports,newcastle united v everton premier league highlights 422024 nbc sports,8,Sports
Arsenal v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 9/3/2023 | NBC Sports,arsenal v manchester united premier league highlights 932023 nbc sports,8,Sports
Arsenal v. Liverpool | PREMIER LEAGUE HIGHLIGHTS | 2/4/2024 | NBC Sports,arsenal v liverpool premier league highlights 242024 nbc sports,8,Sports
