Original_Title,Cleaned_Title,Cluster,Cluster_Name
NYC APARTMENT TOUR #shorts #nyc,nyc apartment tour nyc,4,nyc / apartment / tour / la / penthouse
$1500 NYC apartment #shorts #nyc,1500 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
"Inside my $4,000,000 Dream Home! *Full House Tour*",inside 4000000 dream home house tour,4,nyc / apartment / tour / la / penthouse
LIVING IN NYC | Day in My Life,living nyc day life,4,nyc / apartment / tour / la / penthouse
"Tour A $5,250,000 NYC Penthouse 75 First Avenue",tour 5250000 nyc penthouse 75 first avenue,4,nyc / apartment / tour / la / penthouse
NYC Snow Walk 2024 - NYC Biggest Snowstorm in Manhattan NYC Snow Walk 4K Snowfall in New York City,nyc snow walk 2024 nyc biggest snowstorm manhattan nyc snow walk 4k snowfall york city,4,nyc / apartment / tour / la / penthouse
NYC Apartment Tour: $16 MILLION LUXURY APARTMENT,nyc apartment tour 16 million luxury apartment,4,nyc / apartment / tour / la / penthouse
NYC Apartment Tour: $35 MILLION LUXURY PENTHOUSE APARTMENT,nyc apartment tour 35 million luxury penthouse apartment,4,nyc / apartment / tour / la / penthouse
"Inside a $54,600,000 Billionaires Row NYC Penthouse with Amazing City Views!",inside 54600000 billionaires row nyc penthouse amazing city views,4,nyc / apartment / tour / la / penthouse
"Touring a Modern 40,000,000 New York City Penthouse | NYC Apartment Tour",touring modern 40000000 york city penthouse nyc apartment tour,4,nyc / apartment / tour / la / penthouse
$38 million NYC apartment #shorts #nyc,38 million nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$$$ LA Apartment #shorts #la,la apartment la,4,nyc / apartment / tour / la / penthouse
LIVING IN NYC | Day in My Life,living nyc day life,4,nyc / apartment / tour / la / penthouse
$8500 NYC apartment #shorts #nyc,8500 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$3100 NYC apartment Tour,3100 nyc apartment tour,4,nyc / apartment / tour / la / penthouse
$2000 NYC apartment #shorts #nyc,2000 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$4000 NYC apartment #shorts #nyc,4000 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$995 NYC apartment #shorts #nyc,995 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$7500 NYC apartment #shorts #nyc,7500 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
"$10,000 Hong Kong apartment #shorts #nyc",10000 hong kong apartment nyc,4,nyc / apartment / tour / la / penthouse
"$20,000 LA apartment #shorts #la",20000 la apartment la,4,nyc / apartment / tour / la / penthouse
$$$$ LA Apartment #shorts #la,la apartment la,4,nyc / apartment / tour / la / penthouse
$1500 NYC apartment #shorts #nyc,1500 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$4000 NYC apartment #shorts #nyc,4000 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
Haunted House 🏚 in NYC,haunted house nyc,4,nyc / apartment / tour / la / penthouse
$500 NYC apartment #shorts #nyc,500 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$3300 NYC apartment #shorts #nyc,3300 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$7500 NYC apartment #shorts #nyc,7500 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$9000 LA apartment #shorts #la,9000 la apartment la,4,nyc / apartment / tour / la / penthouse
LA BEST PIZZA 🍕 #shorts #nyc,la pizza nyc,4,nyc / apartment / tour / la / penthouse
"$20,000 NYC apartment #shorts #nyc",20000 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$5000 NYC apartment #shorts #nyc,5000 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$5000 NYC apartment #shorts #nyc,5000 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
SMALLEST Apartment in New York City #shorts #nyc,smallest apartment york city nyc,4,nyc / apartment / tour / la / penthouse
"$40,000 LA apartment #shorts #la",40000 la apartment la,4,nyc / apartment / tour / la / penthouse
$687 NYC apartment #shorts #nyc,687 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$14000 LA apartment #shorts #nyc,14000 la apartment nyc,4,nyc / apartment / tour / la / penthouse
$5000 NYC apartment #shorts #nyc,5000 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
2.5 million NYC apartment #shorts #nyc,25 million nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
15 Million NYC apartment #shorts #nyc,15 million nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$1875 NYC apartment #shorts #nyc,1875 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$3100 NYC apartment #shorts #nyc,3100 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
ABANDONED JAPANESE APARTMENT #shorts #nyc  @ANTONINJAPAN,abandoned japanese apartment nyc antoninjapan,4,nyc / apartment / tour / la / penthouse
$2100 NYC apartment #shorts #nyc,2100 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
"$48,000 NYC apartment #shorts #nyc",48000 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$560 NYC apartment #shorts #nyc,560 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$$$$ Hamptons Home #shorts #nyc,hamptons home nyc,4,nyc / apartment / tour / la / penthouse
$3000 NYC apartment #shorts #nyc,3000 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
Japan Apartment Tour #japan #home tour,japan apartment tour japan home tour,4,nyc / apartment / tour / la / penthouse
$2600 NYC apartment #shorts #nyc,2600 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
NYC APARTMENT TOUR #shorts #nyc,nyc apartment tour nyc,4,nyc / apartment / tour / la / penthouse
#ad New York City Apartment Tour! @TakisUSA,ad york city apartment tour takisusa,4,nyc / apartment / tour / la / penthouse
$$$ NYC apartments #shorts #nyc,nyc apartments nyc,4,nyc / apartment / tour / la / penthouse
$1600 Nashville Apartment #shorts #nyc,1600 nashville apartment nyc,4,nyc / apartment / tour / la / penthouse
$1600 Nashville Apartment #shorts #nyc,1600 nashville apartment nyc,4,nyc / apartment / tour / la / penthouse
Japan Apartment Tour #japan #home tour,japan apartment tour japan home tour,4,nyc / apartment / tour / la / penthouse
"Touring a $20,000,000 NYC Penthouse With a Massive Rooftop Deck",touring 20000000 nyc penthouse massive rooftop deck,4,nyc / apartment / tour / la / penthouse
Touring a 54th Floor New York City PENTHOUSE with 360° City Views,touring 54th floor york city penthouse 360 city views,4,nyc / apartment / tour / la / penthouse
"Touring a Modern 40,000,000 New York City Penthouse | NYC Apartment Tour",touring modern 40000000 york city penthouse nyc apartment tour,4,nyc / apartment / tour / la / penthouse
Touring the IRON MAN House!,touring iron man house,4,nyc / apartment / tour / la / penthouse
"Touring a Modern 40,000,000 New York City Penthouse | NYC Apartment Tour",touring modern 40000000 york city penthouse nyc apartment tour,4,nyc / apartment / tour / la / penthouse
"Touring a Modern 40,000,000 New York City Penthouse | NYC Apartment Tour",touring modern 40000000 york city penthouse nyc apartment tour,4,nyc / apartment / tour / la / penthouse
$2650 NYC apartment #shorts #nyc,2650 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$$$& NYC apartment #shorts #nyc,nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
My NYC Apartment Tour 2024 | New York City VLOG,nyc apartment tour 2024 york city vlog,4,nyc / apartment / tour / la / penthouse
HOUSE TOUR | LUXURY PALATIAL APARTMENT | PART ONE | INTERIOR DESIGN | 4K,house tour luxury palatial apartment part one interior design 4k,4,nyc / apartment / tour / la / penthouse
"AFFORDABLE LUXURY HOUSE TOUR IN TEXAS UNDER $300,000 | Texas Real Estate",affordable luxury house tour texas under 300000 texas real estate,4,nyc / apartment / tour / la / penthouse
"STUNNING Luxury Home Tour, Buckhead, Atlanta, Georgia￼￼",stunning luxury home tour buckhead atlanta georgia,4,nyc / apartment / tour / la / penthouse
"Inside a stunning $1,800,000 Marietta GA Estate | Marietta Georgia Home Tour",inside stunning 1800000 marietta ga estate marietta georgia home tour,4,nyc / apartment / tour / la / penthouse
"$27,500,000 Trump Tower NYC Apartment Tour #shorts",27500000 trump tower nyc apartment tour,4,nyc / apartment / tour / la / penthouse
The House Tour/Gaming Setup,house tourgaming setup,4,nyc / apartment / tour / la / penthouse
$$$ NYC apartment #shorts #nyc,nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
"$54,600,000 Billionaires Row NYC Penthouse Full Tour #shorts",54600000 billionaires row nyc penthouse tour,4,nyc / apartment / tour / la / penthouse
$1535 NYC apartment #shorts #nyc,1535 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$6500 NYC apartment #shorts #nyc,6500 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
"Touring the MOST EXPENSIVE HOUSE in the World | Normandy, France",touring expensive house normandy france,4,nyc / apartment / tour / la / penthouse
$$$ Tour,tour,4,nyc / apartment / tour / la / penthouse
$$$$ Atlanta house #shorts #nyc @Dwighthoward.AboveTheRim,atlanta house nyc dwighthowardabovetherim,4,nyc / apartment / tour / la / penthouse
"$12,000 NYC apartment #shorts #nyc",12000 nyc apartment nyc,4,nyc / apartment / tour / la / penthouse
$89 NYC MICRO APARTMENT #shorts,89 nyc micro apartment,4,nyc / apartment / tour / la / penthouse
