Original_Title,Cleaned_Title,Cluster,Cluster_Name
Juventus vs. PSV: Extended Highlights | UCL Knockout Phase Play-off Leg 1 | CBS Sports Golazo,juventus psv extended highlights ucl knockout phase playoff leg 1 cbs sports golazo,7,Sports
Manchester City vs. Real Madrid: Extended Highlights | UCL Knockout Phase Play-off Leg 1 | CBS,manchester city real madrid extended highlights ucl knockout phase playoff leg 1 cbs,7,Sports
Feyenoord vs. Bayern: Extended Highlights | UCL League Phase MD 7 | CBS Sports Golazo,feyenoord bayern extended highlights ucl league phase md 7 cbs sports golazo,7,Sports
Man. United vs. Rangers: Extended Highlights | UEL League Phase MD 7 | CBS Sports Golazo,man united rangers extended highlights uel league phase md 7 cbs sports golazo,7,Sports
PSG vs. Man. City: Extended Highlights | UCL League Phase MD 7 | CBS Sports Golazo,psg man city extended highlights ucl league phase md 7 cbs sports golazo,7,Sports
Benfica vs. Barcelona: Extended Highlights | UCL League Phase MD 7 | CBS Sports,benfica barcelona extended highlights ucl league phase md 7 cbs sports,7,Sports
Chelsea vs. Shamrock Rovers: Extended Highlights | UECL League Phase MD 6 | CBS Sports Golazo,chelsea shamrock rovers extended highlights uecl league phase md 6 cbs sports golazo,7,Sports
THE UCL DRAW IS RIGGED,ucl draw rigged,7,Sports
Atalanta vs. Real Madrid: Extended Highlights | UCL League Phase MD 6 | CBS Sports Golazo,atalanta real madrid extended highlights ucl league phase md 6 cbs sports golazo,7,Sports
CBS Sports Network in multiview,cbs sports network multiview,7,Sports
CBS Sports Network in multiview,cbs sports network multiview,7,Sports
CBS Sports Network,cbs sports network,7,Sports
CBS Sports Network,cbs sports network,7,Sports
Chelsea vs. Gent: Extended Highlights | UECL League Phase MD 1 | CBS Sports Golazo,chelsea gent extended highlights uecl league phase md 1 cbs sports golazo,7,Sports
Liverpool vs. Bologna: Extended Highlights | UCL League Phase MD 2 | CBS Sports Golazo,liverpool bologna extended highlights ucl league phase md 2 cbs sports golazo,7,Sports
RB Leipzig vs. Juventus: Extended Highlights | UCL League Phase MD 2 | CBS Sports Golazo,rb leipzig juventus extended highlights ucl league phase md 2 cbs sports golazo,7,Sports
