Original_Title,Cleaned_Title,Cluster,Cluster_Name
$450 NYC apartment #shorts #nyc,450 nyc apartment nyc,6,Housing & Real Estate
$2650 NYC apartment #shorts #nyc,2650 nyc apartment nyc,6,Housing & Real Estate
$$$$ NYC apartment #shorts #nyc,nyc apartment nyc,6,Housing & Real Estate
$4000 NYC apartment #shorts #nyc,4000 nyc apartment nyc,6,Housing & Real Estate
$3000 NYC apartment #shorts #nyc,3000 nyc apartment nyc,6,Housing & Real Estate
Japan Apartment Tour #japan #home tour,japan apartment tour japan home tour,6,Housing & Real Estate
$2600 NYC apartment #shorts #nyc,2600 nyc apartment nyc,6,Housing & Real Estate
NYC APARTMENT TOUR #shorts #nyc,nyc apartment tour nyc,6,Housing & Real Estate
$1600 Nashville Apartment #shorts #nyc,1600 nashville apartment nyc,6,Housing & Real Estate
NYC APARTMENT TOUR #shorts #nyc,nyc apartment tour nyc,6,Housing & Real Estate
$1500 NYC apartment #shorts #nyc,1500 nyc apartment nyc,6,Housing & Real Estate
Inside Joshua Weissman's Minimalist Texas Home | Open Door | Architectural Digest,inside joshua weissmans minimalist texas home open door architectural digest,6,Housing & Real Estate
"Tour A $5,250,000 NYC Penthouse 75 First Avenue",tour 5250000 nyc penthouse 75 first avenue,6,Housing & Real Estate
"New York  4K  (Song - Frank Sinatra - New York, New York)",york song frank sinatra york york,6,Housing & Real Estate
NYC Apartment Tour: $16 MILLION LUXURY APARTMENT,nyc apartment tour 16 million luxury apartment,6,Housing & Real Estate
INSIDE the LARGEST APARTMENT in New York City,inside largest apartment york city,6,Housing & Real Estate
NYC Apartment Tour: $35 MILLION LUXURY PENTHOUSE APARTMENT,nyc apartment tour 35 million luxury penthouse apartment,6,Housing & Real Estate
"Touring a Modern 40,000,000 New York City Penthouse | NYC Apartment Tour",touring modern 40000000 york city penthouse nyc apartment tour,6,Housing & Real Estate
$38 million NYC apartment #shorts #nyc,38 million nyc apartment nyc,6,Housing & Real Estate
TSN Top 10: One in a Million Moments,tsn 10 one million,6,Housing & Real Estate
EAST Coast vs WEST Coast | WHICH ONE IS BETTER?,east coast west coast one better,6,Housing & Real Estate
44 million views of Making Chocolate from Cacao Seeds | MyHealthyDish,44 million views making chocolate cacao seeds myhealthydish,6,Housing & Real Estate
$8500 NYC apartment #shorts #nyc,8500 nyc apartment nyc,6,Housing & Real Estate
$3100 NYC apartment Tour,3100 nyc apartment tour,6,Housing & Real Estate
$4000 NYC apartment #shorts #nyc,4000 nyc apartment nyc,6,Housing & Real Estate
$995 NYC apartment #shorts #nyc,995 nyc apartment nyc,6,Housing & Real Estate
$7500 NYC apartment #shorts #nyc,7500 nyc apartment nyc,6,Housing & Real Estate
$1500 NYC apartment #shorts #nyc,1500 nyc apartment nyc,6,Housing & Real Estate
$4000 NYC apartment #shorts #nyc,4000 nyc apartment nyc,6,Housing & Real Estate
$3300 NYC apartment #shorts #nyc,3300 nyc apartment nyc,6,Housing & Real Estate
$10 Million SF Home #shorts #sanfrancisco,10 million sf home sanfrancisco,6,Housing & Real Estate
$7500 NYC apartment #shorts #nyc,7500 nyc apartment nyc,6,Housing & Real Estate
